"","varname","countmodelstop10","countmodelstop2","countmodels2to4","countmodels2to6","countmodels2to10"
"1","Ca",3,1,NA,NA,2
"2","Chl",28,6,3,6,22
"3","Cl",13,5,5,6,8
"4","Clad",1,1,NA,NA,NA
"5","Cond",21,3,10,17,18
"6","Cope",1,1,NA,NA,NA
"7","DO",5,3,1,1,2
"8","ice_out_doy",14,3,5,9,11
"9","K",18,2,5,11,13
"10","log10Chl",13,3,3,4,10
"11","log10Clad",3,2,NA,NA,1
"12","log10Cope",2,1,NA,NA,1
"13","log10Rot",5,4,1,1,1
"14","Mg",6,1,1,1,5
"15","Na",28,2,3,11,26
"16","pH",29,4,9,11,25
"17","Rot",1,1,NA,NA,NA
"18","Secchi",9,1,1,3,8
"19","SO4",20,6,9,14,14
"20","SWE",6,1,1,4,5
"21","TDN",3,1,NA,1,2
"22","TDP",33,2,10,20,30
"23","Watertemp",15,1,6,12,14
