varname,term,coef,int,p.value_slope,p.value_int,R2,AICc
Ca,graywacke,0.032 ± 0.0065***,4.6 ± 0.34***,1.6e-06,1.1e-28,0.1244,969.2
Ca,hydro,-1.6 ± 0.45***,9 ± 1.1***,0.00056,4.7e-15,0.06634,980.5
Ca,iceout_doy,-0.029 ± 0.0099**,11 ± 1.9***,0.0036,2.5e-08,0.04758,984
Ca,SWE,-0.019 ± 0.0043***,8.3 ± 0.72***,2.4e-05,2.1e-23,0.09759,974.5
Cl,Cl_dep_2000_2009,0.015 ± 0.0018***,0.12 ± 0.027***,1e-13,5.4e-06,0.2718,-35.21
Cl,hydro,-0.11 ± 0.028***,0.54 ± 0.064***,1e-04,1.6e-14,0.08296,5.565
Cl,iceout_doy,-0.0017 ± 0.00062**,0.62 ± 0.12***,0.0052,3.4e-07,0.04373,12.98
K,days_since_iceout,4e-04 ± 0.00017*,0.11 ± 0.0098***,0.019,1.3e-22,0.03087,-480.3
K,graywacke,-0.00049 ± 9.9e-05***,0.15 ± 0.0052***,1.5e-06,4.1e-66,0.1241,-498.2
K,iceout_doy,-8e-04 ± 0.00014***,0.28 ± 0.027***,6.1e-08,3.2e-20,0.1549,-504.6
K,SWE,-0.00021 ± 6.7e-05**,0.16 ± 0.011***,0.0024,7.8e-32,0.05141,-484.1
Mg,hydro,-0.11 ± 0.034**,0.64 ± 0.079***,0.0016,6.5e-14,0.05572,78.92
Mg,iceout_doy,-0.0025 ± 0.00074***,0.87 ± 0.14***,0.001,5.1e-09,0.06012,78.09
Mg,SWE,-0.0013 ± 0.00033***,0.6 ± 0.055***,0.00012,1.8e-21,0.08151,74.02
Na,days_since_iceout,0.0022 ± 0.001*,0.65 ± 0.057***,0.026,1.2e-22,0.02788,142.1
Na,hydro,-0.12 ± 0.04**,1 ± 0.093***,0.0037,1.1e-21,0.04722,138.5
Na,iceout_doy,-0.0057 ± 0.00079***,1.8 ± 0.15***,2.4e-11,6.1e-25,0.2259,101.8
Na,SWE,-0.0015 ± 0.00039***,1 ± 0.064***,0.00011,1.7e-34,0.08258,131.8
