"","V1","V2","V3","V4","V5"
"Park","MORA","NOCA","OLYM",NA,"overall"
"Elev_m","1500 (1400-1800)","1800 (1500-2000)","1400 (1200-1600)","NaN (Inf--Inf)","1600 (1200-2000)"
"Elevwshed_m","1700 (1500-1900)","2000 (1800-2200)","1600 (1300-1800)","NaN (Inf--Inf)","1700 (1300-2200)"
"SurfArea_ha","2.8 (1.3-6)","1.4 (0.1-3.6)","2 (0.4-5.7)","NaN (Inf--Inf)","2.1 (0.1-6)"
"ShedArea_ha","83 (20-160)","25 (8.3-44)","54 (9.8-150)","NaN (Inf--Inf)","55 (8.3-160)"
"ShedAreaLakeArea_ratio","29 (11-52)","20 (6.7-37)","76 (7.7-320)","NaN (Inf--Inf)","47 (6.7-320)"
"Depthmax_m","10 (3.8-15)","7.1 (3.6-16)","9.1 (4.2-15)","NaN (Inf--Inf)","8.9 (3.6-16)"
"Depthmean_m","3.6 (1.7-4.6)","3.2 (1.3-6)","3.8 (1.4-6.7)","NaN (Inf--Inf)","3.6 (1.3-6.7)"
"Vol_m3xe6","0.098 (0.049-0.24)","0.062 (0.0087-0.19)","0.095 (0.0066-0.38)","NaN (Inf--Inf)","0.087 (0.0066-0.38)"
"SolarJAS_Whrperm2","4800 (4500-5000)","4900 (4800-5000)","4500 (3900-4800)","NaN (Inf--Inf)","4700 (3900-5000)"
"SolarDec_Whrperm2","340 (180-540)","390 (180-460)","270 (150-440)","NaN (Inf--Inf)","320 (150-540)"
"snowice","0.38 (0-1.6)","1.7 (0-4.1)","1.2 (0-7.8)","NaN (Inf--Inf)","1.1 (0-7.8)"
"forest","46 (17-88)","24 (0.39-59)","38 (2.9-87)","NaN (Inf--Inf)","37 (0.39-88)"
"barren","19 (1.8-46)","30 (2-45)","23 (0-72)","NaN (Inf--Inf)","24 (0-72)"
"hydro","2 (1-3)","2.5 (2-3)","2.1 (1-3)","NaN (Inf--Inf)","2.2 (1-3)"
"SWE","180 (0-270)","150 (14-310)","140 (0.51-240)","NaN (Inf--Inf)","150 (0-310)"
"iceout_doy","170 (110-210)","200 (150-250)","190 (64-270)","NaN (Inf--Inf)","190 (64-270)"
"ice_free_days","150 (110-220)","110 (49-170)","120 (39-260)","NaN (Inf--Inf)","130 (39-260)"
